canonical_name,father_name,cnic,owner_number,province,city,society_name,property_type,plot_house_no,area,purchase_year,ownership_status,market_value,phone
Naeem Virk,S/O Kamran Ansari,13302-8896486-2,03129364914,KPK,Mardan,G-9,House,481,35 Kanal,1998,Owned,34204840.0,0312-9364914
Rabia Syed,S/O Syed Gujjar,61101-5875062-6,03332084532,Punjab,Sialkot,Cantt,Apartment,905,79 Marla,2003,Sold,28283880.0,0333-2084532
Khalid Bhatti,S/O Tariq Aslam,61101-4097922-8,03137380445,Sindh,Mirpurkhas,E-11,Residential Plot,994,3 Kanal,2009,Sold,74061340.0,0313-7380445
Shazia Qureshi,S/O Rabia Virk,42101-5736017-3,03018853827,Azad Kashmir,Rawalakot,Bahria Town,Residential Plot,529,28 Marla,2006,Sold,325159380.0,0301-8853827
Asif Zaidi,S/O Tariq Syed,61101-1979480-7,03224538481,Balochistan,Gwadar,North Nazimabad,House,782,6 Sq.Ft,2021,Owned,0.0,0322-4538481
Arif Naqvi,,61101-4068039-2,03467471232,Sindh,Sukkur,Bahria Town,Apartment,884,42 Kanal,2019,Owned,289526050.0,0346-7471232
Asma Khan,S/O Hina Cheema,61101-4393282-3,03327052003,Gilgit-Baltistan,Skardu,Clifton,Apartment,789,79 Marla,2011,Owned,28059450.0,0332-7052003
Malik Ali,S/O Saira Bukhari,44000-1317723-5,03224805734,Azad Kashmir,Muzaffarabad,Scheme 33,Apartment,758,64 Marla,2016,Owned,134006420.0,0301-5089243
Syed Mirza,S/O Rizwan Zaidi,44000-2150745-2,03461055838,Sindh,Karachi,Gulberg,House,671,33 Kanal,2017,Mortgaged,67973390.0,0346-1055838
Amna Ali,S/O Muhammad Ahmed,61101-9618324-4,03461885481,KPK,Mingora,Scheme 33,House,737,62 Kanal,2020,Rented,207073370.0,0346-1885481
Baig Cheema,S/O Waseem Gujjar,35202-6731484-8,03119237769,Balochistan,Quetta,G-9,Apartment,325,96 Sq.Ft,2019,Rented,122025950.0,0301-9238197
Mirza Nawaz,S/O Hussain Sheikh,54000-1936000-9,03132607764,Azad Kashmir,Rawalakot,Defence,House,691,54 Kanal,2018,Mortgaged,5180960.0,0313-2607764
Sobia Qureshi,S/O Hussain Aslam,54000-8304686-4,03465326615,ICT,Islamabad,Cantt,Residential Plot,616,32 Marla,2016,Rented,269383600.0,0346-5326615
Hina Rizvi,S/O Asma Aslam,35202-4231387-6,03333136181,Balochistan,Hub,PAF Colony,Apartment,51,97 Marla,2016,Rented,80197350.0,0333-3136181
Raja Sheikh,S/O Kashif Latif,35202-7830591-7,03452169844,Balochistan,Gwadar,DHA,Residential Plot,725,61 Kanal,2016,Rented,58611870.0,0345-2169844
Bushra Aslam,S/O Ibrahim Khan,61101-8730483-9,03227776291,ICT,Islamabad,E-11,Residential Plot,638,91 Marla,2001,Rented,23167840.0,0322-7776291
Baig Raja,S/O Rukhsar Akhtar,42101-7386441-1,03315010638,Sindh,Karachi,Gulberg,Residential Plot,694,96 Marla,2021,Owned,205787960.0,0333-9420720
Shazia Gilani,S/O احمد خان,54000-5331763-3,03133715584,Balochistan,Gwadar,Cavalry Ground,House,263,85 Kanal,2015,Owned,71535620.0,0313-3715584
Tariq Latif,S/O Faisal Iqbal,54000-5757898-5,03229292785,Gilgit-Baltistan,Chilas,PAF Colony,Residential Plot,165,32 Marla,2023,Sold,26911840.0,0322-9292785
Adnan Sheikh,S/O Iqra Aslam,21301-9424230-6,03137564279,ICT,Islamabad,Saddar,Residential Plot,748,96 Sq.Ft,1999,Sold,67912350.0,0313-7564279
Usman Karim,S/O Amna Raza,42101-8395979-3,03463521575,Gilgit-Baltistan,Skardu,Askari,Residential Plot,848,86 Sq.Ft,2016,Sold,12660020.0,0321-5397122
Sana Hussain,S/O Khalid Bukhari,44000-5034453-7,03133347981,Azad Kashmir,Mirpur,E-11,Apartment,893,36 Marla,2012,Mortgaged,3560340.0,0313-3347981
Naeem Hameed,S/O Hina Nawaz,61101-4033433-4,03011229433,Punjab,Sargodha,Bahria Town,Residential Plot,911,67 Sq.Ft,2020,Sold,290799380.0,0301-1229433
,S/O Waseem Butt,13302-3036884-5,03215572567,Gilgit-Baltistan,Gilgit,Cantt,Residential Plot,890,46 Sq.Ft,2015,Owned,103777350.0,0321-5572567
Arif Virk,S/O Tariq Syed,42101-4708239-2,03136631223,Punjab,Gujranwala,G-9,Residential Plot,357,85 Sq.Ft,2000,Sold,125193760.0,0313-6631223
نادیہ رضا,S/O Sheikh Nawaz,35202-5832444-9,03464052259,KPK,Peshawar,PAF Colony,Residential Plot,774,11 Marla,2000,Sold,96940930.0,0346-4052259
Zainab Rafiq,S/O عمر شیخ,35202-5243170-6,03222417579,Gilgit-Baltistan,Chilas,Bahria Town,Residential Plot,927,51 Kanal,2014,Owned,49309540.0,0322-2417579
Qureshi Hameed,S/O Hussain Hameed,21301-7194014-6,03464734391,Azad Kashmir,Rawalakot,Gulshan-e-Iqbal,Apartment,304,72 Marla,2017,Owned,1217785270.0,0321-1401427
Sana Chaduhry,S/O Zainab Raza,42101-5488504-7,03124523842,ICT,Islamabad,Bahria Town,Apartment,776,8 Kanal,2022,Sold,14209230.0,0312-4523842
Chaudhr Abbasi,S/O Salman Ansari,35202-2459239-5,03466361617,Azad Kashmir,Muzaffarabad,Cantt,House,40,89 Marla,2010,Owned,20833620.0,0312-3294959
Sobia Rizvi,S/O Amna Ahmed,44000-6873067-5,03004266831,Sindh,Sukkur,DHA,House,139,91 Marla,2004,Owned,52120890.0,0300-4266831
Mehwish Iqbal,S/O Fatima Qureshi,44000-6095183-6,03467889628,Gilgit-Baltistan,Gilgit,E-11,Residential Plot,801,23 Sq.Ft,1998,Rented,7617940.0,0346-7889628
Faisal Ahmed,S/O Hussain Virk,61101-2729907-3,03005830693,KPK,Abbottabad,Askari,House,619,59 Sq.Ft,2020,Rented,58930290.0,0312-5144036
Asif Chattha,S/O Hina Hashmi,21301-7691694-3,03122606823,ICT,Islamabad,Scheme 33,Apartment,642,74 Marla,2010,Sold,136856090.0,
عائشہ احمد,S/O Shazia Bukhari,13302-3816607-3,03016488523,Balochistan,Turbat,Gulberg,Commercial Building,39,45 Marla,2002,Sold,1375851390.0,0301-6488523
Ayesha Baig,S/O Kamran Jafri,13302-9141073-3,03217373200,Punjab,Sialkot,Gulberg,Agricultural Land,143,23 Kanal,2001,Owned,786443710.0,0321-7373200
Naeem Hameed,S/O Hassan Ahmed,44000-8267158-7,03026938182,Sindh,Sukkur,Cavalry Ground,Apartment,246,44 Sq.Ft,1999,Sold,1071812610.0,0302-6938182
Adnan Hashmi,S/O Amna Virk,13302-9680996-6,03463843741,ICT,Islamabad,Johar Town,Apartment,229,47 Kanal,2002,,11598670.0,0311-6635913
Fatima Karim,S/O Mirza Nawaz,61101-3427676-5,03025754542,Gilgit-Baltistan,Chilas,Township,House,910,15 Marla,1999,Rented,64994630.0,0302-5754542
Mohammad Rizvi,S/O Imran Raja,13302-9221239-5,03216845789,Punjab,Multan,PAF Colony,Residential Plot,811,8 Kanal,2001,Rented,311367840.0,0321-6845789
Uzma Zaidi,S/O Saira Bhatti,13302-9512372-9,03338965353,Sindh,Hyderabad,Defence,Residential Plot,936,96 Kanal,2012,Mortgaged,23007120.0,0333-8965353
Bilal Hussain,S/O Ali Virk,61101-4928098-6,03025637554,Gilgit-Baltistan,Gilgit,DHA,Apartment,753,31 Kanal,2002,Sold,28529200.0,0302-5637554
Hashmi Rafiq,S/O Saira Virk,13302-3101870-9,03323317607,Gilgit-Baltistan,Gilgit,North Nazimabad,Residential Plot,563,6 Sq.Ft,2021,Mortgaged,30217340.0,0332-3317607
Hussain Sheikh,S/O Waseem Chaudhry,13302-9690736-8,03112795982,Sindh,Larkana,Scheme 33,House,378,69 Sq.Ft,1996,Owned,134103170.0,0311-2795982
Hassan Latif,S/O Kamran Karim,61101-2920551-1,03457280082,Azad Kashmir,Rawalakot,PAF Colony,House,153,40 Kanal,1997,Owned,49933480.0,0345-7280082
Sidra Rafiq,S/O Hina Virk,,03008279185,Balochistan,Hub,G-9,Residential Plot,596,58 Marla,2017,Sold,14483500.0,0300-8279185
Mehwish Aslam,,13302-8347630-8,03013538549,KPK,Peshawar,Township,Residential Plot,887,66 Marla,2009,Rented,39623640.0,0301-3538549
Khalid Ali,S/O Sidra Gilani,61101-1094709-6,03026412833,Gilgit-Baltistan,Chilas,Gulshan-e-Iqbal,Apartment,835,60 Marla,2017,Owned,14615660.0,0302-6412833
Salamn Rizvi,S/O Zubair Aslam,21301-3676594-7,03002448773,Balochistan,Hub,Cantt,House,333,38 Marla,1997,Sold,19952570.0,0345-4079899
Rabia Rafiq,S/O Ayesha Bukhari,35202-4819276-4,03338569691,KPK,Mingora,Bahria Town,House,942,95 Marla,2019,Sold,36031650.0,0333-8569691
Qureshi Aslam,S/O Salman Jafri,13302-9241865-2,03454460803,Sindh,Mirpurkhas,Gulberg,Apartment,202,21 Sq.Ft,1996,Owned,155616120.0,0345-4460803
Zubair Syed,S/O Faisal Raja,61101-3123410-3,03133141011,Punjab,Multan,E-11,Residential Plot,892,73 Kanal,1999,Owned,58381730.0,0313-3141011
Hamid Ansari,S/O Tahir Nawaz,21301-6785697-2,03217508255,Balochistan,Quetta,Gulshan-e-Iqbal,Apartment,640,26 Sq.Ft,1998,Sold,207118750.0,
Naveed Nawaz,S/O S/O Fatima Hashmi,44000-9479842-8,03011517756,Balochistan,Khuzdar,Gulshan-e-Iqbal,Apartment,271,49 Sq.Ft,2009,Sold,7384320.0,0301-1517756
Ibrahim Naqvi,S/O Adnan Abbasi,44000-4891542-4,03016819164,Punjab,Sargodha,G-9,Residential Plot,962,92 Kanal,2004,Owned,115620890.0,0301-6819164
Ibrahim Abbasi,S/O Arif Raja,54000-7386140-6,03014368897,Azad Kashmir,Rawalakot,E-11,Apartment,761,33 Kanal,1998,Owned,153870680.0,0301-4368897
Sana Naqvi,S/O Kashif Naqvi,61101-8988550-8,03228463259,Gilgit-Baltistan,Chilas,Scheme 33,Residential Plot,961,87 Marla,2002,Owned,21129200.0,0322-8463259
Hassan Aslam,S/O Ayesha Rana,42101-6584573-9,03452819095,Gilgit-Baltistan,Gilgit,Saddar,Commercial Building,252,77 Marla,2001,Sold,359814540.0,0345-2819095
Zubair Chaudhry,S/O Amna Gujjar,13302-9949005-9,03453918267,Punjab,Bahawalpur,Bahria Town,House,283,44 Marla,2009,Sold,38831750.0,0303-7626128
Sobia Ansari,S/O Rizwan Cheema,13302-5796637-3,03002107353,Azad Kashmir,Muzaffarabad,DHA,Residential Plot,476,79 Marla,2021,Sold,135428730.0,0300-2107353
Faisal Khan,,,03018101457,ICT,Islamabad,Johar Town,Residential Plot,280,63 Kanal,1996,Sold,233094610.0,0301-8101457
Naveed Hussain,S/O Naeem Gujjar,61101-1642255-9,03116078724,ICT,Islamabad,Cantt,House,254,76 Kanal,2023,Rented,14850100.0,0311-6078724
احمد خان,S/O Ahmed Rizvi,35202-2843426-9,03137386221,Gilgit-Baltistan,Chilas,DHA,Residential Plot,744,48 Kanal,2015,Mortgaged,242861490.0,0313-7386221
Rukhsar Sandhu,S/O مریم چودھری,35202-2581127-3,03216122489,KPK,Peshawar,Cavalry Ground,Apartment,103,38 Marla,2014,Mortgaged,101974180.0,0321-6122489
Muhammad Khan,S/O Asma Bhatti,44000-1226632-1,03124273522,Balochistan,Hub,PAF Colony,Apartment,808,91 Sq.Ft,2019,Mortgaged,31018710.0,0312-4273522
Sana Rizvi,S/O Bushra Karim,35202-2287024-4,03119365912,Gilgit-Baltistan,Skardu,Bahria Town,Apartment,637,57 Sq.Ft,1995,Mortgaged,184547140.0,0311-9365912
Hashmi Rana,S/O Ahmed Naqvi,42101-7758043-1,03006660462,Balochistan,Gwadar,DHA,Residential Plot,476,77 Sq.Ft,2013,Sold,5568380.0,0300-6660462
Naveed Gujjar,S/O Fatima Raja,42101-2506684-3,03038214143,ICT,Islamabad,G-9,Apartment,669,58 Marla,1996,Rented,64117830.0,0303-8214143
Usman Hameed,S/O Hina Gilani,13302-7572195-1,03139316519,ICT,Islamabad,Gulshan-e-Iqbal,House,212,70 Marla,2005,Sold,30518150.0,0313-9316519
Ibrahim Gilani,S/O Sobia Baig,44000-6995797-7,03007152684,KPK,Mardan,Defence,Apartment,374,5 Sq.Ft,1996,Rented,157665920.0,0300-7152684
Mohammad Ansari,S/O Bilal Rana,54000-9308847-4,03012969102,Balochistan,Khuzdar,Saddar,House,778,57 Marla,2019,Rented,0.0,0301-2969102
Baig Tarar,S/O Hina Virk,42101-4605337-2,03038042425,ICT,Islamabad,Askari,Apartment,149,74 Marla,2001,Sold,41969680.0,
,S/O Sidra Rana,35202-4667366-8,03136401333,ICT,Islamabad,Saddar,Apartment,601,36 Sq.Ft,2015,Rented,177070460.0,0313-6401333
Ahmed Sandhu,S/O Mehwish Malik,,03115492622,Sindh,Hyderabad,G-9,Residential Plot,404,47 Marla,1998,Mortgaged,235990060.0,0311-5492622
Nadia Qureshi,S/O Hussain Chaudhry,13302-8139475-4,03333546928,KPK,Peshawar,DHA,Apartment,583,79 Sq.Ft,2014,Sold,306137110.0,0333-3546928
Fatima Gondal,S/O Salman Ali,21301-8717719-5,03133987988,ICT,Islamabad,Cantt,Apartment,281,56 Sq.Ft,2001,Mortgaged,24499100.0,0313-3987988
Omar Gujjar,S/O Noor Naqvi,54000-7836928-2,03022147606,Balochistan,Quetta,Bahria Town,House,537,55 Sq.Ft,2021,,133981520.0,0302-2147606
,S/O Tariq Tarar,42101-4469260-4,03037988175,KPK,Abbottabad,Defence,Apartment,398,61 Marla,2000,Mortgaged,17275940.0,0321-2016868
Raja Raja,S/O Chaudhry Nawaz,35202-7030060-7,03014135173,ICT,Islamabad,PAF Colony,Residential Plot,673,55 Sq.Ft,2005,Rented,42677030.0,0301-4135173
Mehwish Ansari,S/O Shazia Ansari,42101-6384369-7,03018420036,Sindh,Hyderabad,Gulshan-e-Iqbal,House,785,83 Marla,1998,Mortgaged,31266880.0,0301-8420036
Sidra Gilani,S/O Sajid Qureshi,42101-9805217-4,03461234643,Balochistan,Quetta,Askari,Residential Plot,435,54 Sq.Ft,2018,Owned,119998270.0,0346-1234643
,S/O S/O Malik Karim,42101-1689543-9,03316821657,Gilgit-Baltistan,Skardu,Gulberg,Residential Plot,575,79 Kanal,2002,Rented,85879060.0,0331-6821657
Zainab Chaudhry,S/O Sana Chaudhry,44000-9182224-6,03453128722,ICT,Islamabad,PAF Colony,Apartment,859,28 Marla,2016,Owned,69177970.0,0312-3006090
Rabia Rana,S/O Hamid Gilani,21301-3652447-3,03319907637,Azad Kashmir,Muzaffarabad,E-11,House,257,19 Marla,2022,Sold,45764950.0,0331-9907637
Hussain Chattha,,13302-8563218-9,03003596571,Balochistan,Quetta,Cavalry Ground,House,338,40 Marla,2023,Rented,253264560.0,0300-3596571
Saira Gilani,S/O Asma Hussain,13302-4294552-9,03211180862,Sindh,Sukkur,PAF Colony,Apartment,730,54 Sq.Ft,1995,Rented,199032130.0,0321-1180862
Hussain Virk,S/O S/O Mohammad Abbasi,42101-7669918-9,03336938069,Sindh,Hyderabad,DHA,House,647,61 Marla,2010,Rented,0.0,0333-6938069
Sana Jafri,S/O Maryam Gondal,54000-9104718-1,03017508433,ICT,Islamabad,F-10,Apartment,171,35 Marla,1999,Sold,35753420.0,0301-7508433
Sobia Butt,S/O Ali Iqbal,61101-2125815-3,,KPK,Bannu,North Nazimabad,Apartment,852,14 Marla,1996,Rented,62258620.0,0332-8119396
Hina Raza,S/O Mirza Khan,13302-2682110-3,03139201859,Sindh,Hyderabad,I-8,Apartment,208,74 Marla,2021,Mortgaged,486305760.0,0313-9201859
Ali Nawaz,S/O ابراہیم ملک,21301-1296308-4,03139807554,Sindh,Mirpurkhas,Saddar,Apartment,175,42 Sq.Ft,2013,Owned,67995130.0,0313-9807554
Mehwish Zaidi,S/O Qureshi Gondal,21301-1274196-9,03451858921,Balochistan,Hub,Clifton,House,630,81 Marla,2001,Sold,23993470.0,0345-1858921
Shoaib Raja,S/O Nadia Raza,13302-1462791-9,03024635481,Balochistan,Quetta,Model Town,Residential Plot,489,45 Marla,2002,Owned,15932080.0,0302-4635481
Noor Hussain,S/O Bushra Jafri,54000-5016918-5,03026941510,Azad Kashmir,Muzaffarabad,Askari,House,388,14 Marla,2005,Owned,623461820.0,0302-6941510
Mehwish Gondal,,61101-2453863-6,03328279463,Balochistan,Gwadar,Askari,Apartment,923,61 Sq.Ft,2022,Mortgaged,69060140.0,0332-8279463
Mehwish Raja,S/O Naeem Syed,21301-7342344-4,03465926534,ICT,Islamabad,Gulshan-e-Iqbal,Apartment,155,8 Kanal,1999,Sold,88385400.0,0346-5926534
Waseem Chattha,S/O Salman Akhtar,54000-3099232-3,03452451359,KPK,Abbottabad,E-11,Residential Plot,868,75 Kanal,2017,Mortgaged,10120620.0,0345-2451359
Mehwish Malik,S/O Qureshi Malik,35202-3330870-6,,ICT,Islamabad,Askari,House,288,43 Sq.Ft,2013,Rented,9336760.0,
Ayesha Raja,S/O Usman Bukhari,21301-4470657-9,03218590804,Gilgit-Baltistan,Chilas,Johar Town,Residential Plot,791,63 Marla,1997,Owned,134105550.0,0321-8590804
Amna Ali,S/O Muhammad Ahmed,61101-9618324-4,03031361009,KPK,Kohat,F-10,House,862,98 Kanal,2021,Rented,67461990.0,0313-8534726
,S/O Chaudhry Bhatti,44000-1951051-7,03112124704,Balochistan,Turbat,PAF Colony,Apartment,875,28 Marla,2009,Sold,36023970.0,0311-2124704
Bilal Ali,,54000-7378535-3,03312843740,Balochistan,Turbat,Bahria Town,House,831,83 Sq.Ft,2016,Mortgaged,74141820.0,0331-2843740
Zainab Iqbal,S/O Asma Rizvi,42101-7030680-6,03213491564,ICT,Islamabad,G-9,Apartment,597,100 Marla,2005,Rented,36058350.0,0321-3491564
Aamir Ali,S/O احمد خان,42101-7456436-6,03001136727,KPK,Kohat,Gulberg,Apartment,649,81 Marla,1996,Sold,5627870.0,0300-1136727
Bilal Gujjar,S/O Hussain Hameed,35202-7895412-3,03336478233,Gilgit-Baltistan,Chilas,Model Town,Residential Plot,856,27 Marla,2003,Sold,105592550.0,0333-6478233
Amna Abbasi,S/O Sajid Gondal,44000-9019324-1,03453189251,ICT,Islamabad,Bahria Town,Apartment,804,51 Marla,2010,Owned,170034030.0,0345-3189251
Noor Rana,S/O مریم چودھری,44000-1412512-8,03226931535,Punjab,Bahawalpur,DHA,Apartment,554,85 Marla,2000,Owned,131917150.0,0322-6931535
Nadia Bukhari,S/O Usman Hameed,21301-7506196-2,03319742683,Balochistan,Gwadar,Model Town,Apartment,357,69 Kanal,2015,Mortgaged,151517060.0,0331-9742683
Bushra Nawaz,S/O Raja Gilani,54000-5510178-3,03014518167,ICT,Islamabad,G-9,Apartment,725,36 Sq.Ft,1995,Sold,55998100.0,0301-4518167
Nadia Iqbal,,13302-9044833-7,03133844964,KPK,Peshawar,PAF Colony,Apartment,482,66 Kanal,2021,Owned,157792030.0,0313-3844964
,S/O Tahir Gilani,21301-4702106-2,03133431711,ICT,Islamabad,Gulberg,Residential Plot,39,69 Kanal,2020,Rented,126355910.0,0313-3431711
Sidra Zaidi,S/O Syed Virk,42101-8883703-3,03002335122,Azad Kashmir,Rawalakot,Johar Town,House,64,32 Kanal,2010,Mortgaged,117034690.0,0321-2596700
Asif Rafiq,S/O Mohammad Hussain,54000-7992286-2,03339127895,KPK,Mingora,Cantt,Residential Plot,830,13 Sq.Ft,2002,Mortgaged,94523320.0,0333-9127895
Hamid Syed,S/O Tahir Rizvi,44000-7294218-7,03215004432,Balochistan,Quetta,Gulberg,Residential Plot,315,70 Kanal,2014,Mortgaged,70123270.0,0321-5004432
Tariq Gilani,S/O Hassan Sandhu,35202-1423117-1,03456214780,Azad Kashmir,Muzaffarabad,Gulshan-e-Iqbal,House,517,90 Sq.Ft,2006,Sold,0.0,0302-1372186
Rukhsar Cheema,S/O Sheikh Khan,54000-1740262-7,03454884275,Gilgit-Baltistan,Chilas,Township,Residential Plot,676,80 Marla,2019,Sold,8236160.0,0345-4884275
Maryma Bhatti,S/O Rukhsar Gujjar,13302-3408334-1,03227076665,Balochistan,Quetta,Scheme 33,Apartment,691,88 Kanal,1996,Rented,58961830.0,0322-7076665
Raja Karim,S/O Baig Akhtar,61101-8471824-6,03465083365,Gilgit-Baltistan,Skardu,Askari,House,476,16 Sq.Ft,2001,Sold,32412850.0,0346-5083365
Syed Hashmi,S/O Syed Akhtar,,03025045287,Gilgit-Baltistan,Chilas,Township,Residential Plot,968,95 Marla,2021,,109347570.0,0302-5045287
Nadia Butt,S/O Chaudhry Syed,42101-4827675-3,03455182075,ICT,Islamabad,PAF Colony,Apartment,495,16 Kanal,2006,Mortgaged,11724780.0,0345-5182075
Mirza Qureshi,S/O Rizwan Qureshi,21301-2786276-9,03325695265,Punjab,Faisalabad,E-11,House,543,83 Marla,2016,Owned,399918060.0,0332-5695265
Sheikh Abbasi,S/O Baig Syed,13302-1386380-2,03227412093,Punjab,Multan,Askari,Apartment,628,79 Kanal,2012,Mortgaged,15815930.0,0322-7412093
Sana Sandhu,S/O Iqra Gilani,54000-5508658-6,03128531153,Azad Kashmir,Rawalakot,Cantt,House,123,40 Kanal,2010,Sold,91791590.0,0300-6736526
Muhammad Rizvi,S/O Sheikh Ahmed,35202-9423515-8,03033634529,KPK,Mingora,Scheme 33,Apartment,487,91 Sq.Ft,2016,Owned,44086950.0,0303-3634529
Sidra Qureshi,S/O Omar Syed,42101-6898808-6,03122875461,Azad Kashmir,Muzaffarabad,Township,Apartment,627,13 Marla,2016,Mortgaged,16852960.0,0312-2875461
Maryam Laif,S/O Naeem Butt,13302-7097329-9,03212570802,Gilgit-Baltistan,Chilas,Saddar,Apartment,271,26 Marla,1999,Owned,12550180.0,0321-2570802
Naveed Cheema,S/O Sajid Gondal,54000-6900247-3,,Punjab,Rawalpindi,Scheme 33,Agricultural Land,16,48 Sq.Ft,1998,Rented,367319010.0,0322-6185050
Sheikh Caudhry,,35202-8326823-1,03018924691,Sindh,Nawabshah,Scheme 33,Residential Plot,934,97 Marla,2023,Mortgaged,24198450.0,0301-8924691
Sobia Syed,S/O Kamran Bukhari,54000-1140823-1,03326811782,Gilgit-Baltistan,Skardu,PAF Colony,House,978,24 Marla,2011,Rented,74522370.0,0332-6811782
Tariq Jafri,S/O Sajid Aslam,35202-4353806-5,03325203716,Punjab,Multan,North Nazimabad,Residential Plot,786,85 Sq.Ft,2020,Rented,3323600.0,0332-5203716
Noor Tarar,S/O Asma Zaidi,44000-8412854-2,03212525747,KPK,Kohat,Saddar,Apartment,264,44 Kanal,2008,,657671710.0,0321-2525747
Hashmi Raza,S/O Qureshi Ali,21301-6331091-9,03133482120,Punjab,Bahawalpur,E-11,Apartment,88,57 Sq.Ft,2011,Sold,139377430.0,0313-3482120
Ibrahim Jafri,S/O Nadia Rana,44000-5814527-5,03121977068,KPK,Bannu,Gulberg,House,353,77 Marla,2008,Rented,82547940.0,0312-1977068
Salman Sandhu,S/O Naveed Syed,42101-4431982-2,03216450844,Balochistan,Gwadar,Cantt,Residential Plot,136,3 Marla,2008,Rented,242193550.0,0321-6450844
Shoaib Sheikh,S/O Arif Baig,13302-9157807-1,03327249105,ICT,Islamabad,Askari,House,584,58 Kanal,2006,,9020960.0,0332-7249105
Aamir Iqbl,S/O Raja Rana,61101-8278746-5,03032030678,ICT,Islamabad,PAF Colony,Residential Plot,231,48 Sq.Ft,1995,Mortgaged,14056730.0,
Tahir Ali,S/O Noor Latif,54000-8025252-8,03327496851,Azad Kashmir,Muzaffarabad,Defence,Apartment,545,7 Kanal,2022,Owned,24906290.0,0332-7496851
Noor Rizvi,S/O Omar Karim,61101-3799030-6,03025676817,Sindh,Sukkur,Saddar,Residential Plot,177,96 Sq.Ft,2008,Sold,19034740.0,0302-5676817
Ayesha Aslam,S/O Zubair Qureshi,35202-8687077-3,03018758648,KPK,Peshawar,Bahria Town,Agricultural Land,541,29 Marla,1998,Owned,415236740.0,0301-8758648
Shoaib Akhtar,S/O Aamir Naqvi,61101-9376230-9,03457014194,Balochistan,Turbat,Askari,Residential Plot,811,79 Sq.Ft,2015,Owned,159622920.0,0345-7014194
Salmna Rizvi,,21301-3676594-7,03002448773,Balochistan,Hub,Scheme 33,House,100,81 Marla,2021,Mortgaged,21810090.0,0300-2448773
Asif Rizvi,S/O Muhammad Karim,44000-4392472-2,03016349518,Azad Kashmir,Rawalakot,Cavalry Ground,Residential Plot,514,96 Marla,2014,Mortgaged,61351740.0,0301-6349518
Ali Chattha,S/O Kashif Hameed,54000-5044518-2,03134467693,Sindh,Karachi,F-10,Apartment,866,42 Marla,1996,Rented,69400480.0,0300-5981332
Khalid Raja,S/O Sajid Rafiq,42101-8100127-8,03038278910,Azad Kashmir,Muzaffarabad,Askari,Apartment,736,50 Marla,2019,Owned,138787100.0,0303-8278910
Bilal Aslam,S/O Sana Bhatti,61101-5873688-6,03039348768,Azad Kashmir,Mirpur,Defence,Residential Plot,257,45 Sq.Ft,2008,Mortgaged,138745940.0,0303-9348768
مریم چودھری,S/O Asma Syed,42101-9683477-3,03001231357,Gilgit-Baltistan,Chilas,Model Town,Apartment,854,60 Sq.Ft,2007,Rented,709430850.0,0300-1231357
Ahmed Gujjar,S/O Asif Sheikh,44000-1976246-1,03465660093,Gilgit-Baltistan,Gilgit,G-9,Residential Plot,933,84 Kanal,2023,Mortgaged,29328380.0,0346-5660093
Asif Rafiq,S/O Faisal Syed,13302-8534286-3,03322557530,Punjab,Lahore,Gulberg,Apartment,703,81 Kanal,2018,Owned,144390480.0,0332-2557530
Moohammad Hussain,S/O Rukhsar Ansari,54000-6591164-3,,KPK,Peshawar,Gulshan-e-Iqbal,House,558,63 Marla,1998,Owned,101743920.0,0300-9318770
Hashmi Akhtar,S/O Tariq Rana,54000-7395906-7,03465571940,Balochistan,Hub,Johar Town,Residential Plot,930,52 Marla,2023,,126617410.0,0346-5571940
محمد علی,S/O Tariq Qureshi,54000-5193608-5,03458462902,Sindh,Mirpurkhas,Cantt,Apartment,275,85 Kanal,1999,Owned,38695710.0,0345-8462902
Hassan Sandhu,S/O Asif Chaudhry,61101-9640608-3,03335368226,Azad Kashmir,Mirpur,Scheme 33,Residential Plot,397,34 Sq.Ft,2014,Mortgaged,38304980.0,0333-5368226
Adnan Sheikh,S/O Rabia Sheikh,44000-5937075-2,03316916218,Balochistan,Gwadar,G-9,Residential Plot,436,48 Marla,2022,Owned,123008930.0,0331-6916218
Khalid Bukhari,S/O S/O Hamid Aslam,42101-9832465-5,03215080351,Azad Kashmir,Mirpur,Johar Town,Apartment,998,20 Marla,2010,Rented,4129520.0,0321-5080351
Salman Naqvi,S/O Usman Tarar,35202-9598314-3,03128593694,KPK,Mardan,Gulberg,House,389,46 Sq.Ft,2014,Rented,117273530.0,0312-8593694
Rizwan Malik,S/O Sheikh Syed,61101-5639056-3,03139922954,ICT,Islamabad,Model Town,Commercial Building,243,71 Sq.Ft,2001,Sold,214473940.0,0313-9922954
Hashmi Rafiq,S/O Imran Virk,35202-6798616-9,03019408413,Punjab,Lahore,E-11,Residential Plot,771,78 Marla,2011,Mortgaged,97268080.0,0301-9408413
Aamir Nawaz,S/O Sidra Qureshi,42101-3586212-8,03038385078,Azad Kashmir,Muzaffarabad,Cavalry Ground,Residential Plot,378,41 Marla,2008,Mortgaged,12628280.0,0303-8385078
Rabia Bhatti,S/O S/O Usman Mirza,,,ICT,Islamabad,I-8,Apartment,964,86 Sq.Ft,1998,Owned,4090130.0,0346-4607488
BaigB hatti,S/O Sobia Baig,42101-5322370-8,03138381308,Punjab,Sargodha,Gulshan-e-Iqbal,Apartment,441,49 Marla,2012,Owned,186854960.0,0313-8381308
