Owner_Name,Father_Name,CNIC,Car_Registration_Number,Model_Year,Car_Brand,Car_Model,Engine_Size_CC,Province,City,Estimated_Market_Value,Contact_No
Fatima Hameed,S/O Hashmi Hameed,3520212635333,MZD-3482-W,2020,Suzuki,Jimny,800,Azad Kashmir,Mirpur,136800,03022420416
Saira Chattha,S/O Hamid Akhtar,3520281235986,GIL-5700-Y,2019,Toyota,Camry,660,Gilgit-Baltistan,Gilgit,154440,03006625209
Kamran Gujjar,S/O Noor Jafri,1330269549593,QTA-9547-B,2008,Suzuki,Cultus,660,Balochistan,Quetta,250800,03037184221
Kashif Gujjar,S/O Sobia Raza,2130121637998,MZD-8906-A,2005,Hyundai,Elantra,1000,Azad Kashmir,Muzaffarabad,184000,03138763983
Arif Zaii,S/O Qureshi Cheema,5400018630836,LHR-841-G,2020,Toyota,Fortuner,1600,Punjab,Sialkot,214400,03228917589
Ibrahim Khan,,4210179991332,PES-5945-P,2015,Suzuki,Wagon R,1600,KPK,Mardan,211200,03018024530
Sheikh Sandhu,,3520280840014,PES-799-F,2014,Mercedes,GLE,3000,KPK,Mingora,300000,03455561139
Sajid Aslam,S/O Naveed Jafri,2130188396425,GIL-8921-P,2007,Honda,City,1300,Gilgit-Baltistan,Gilgit,379600,03468245804
Mehwish Jafri,S/O Ibrahim Sheikh,2130194336512,QTA-5992-F,2006,Suzuki,Alto,2000,Balochistan,Turbat,364000,03016089455
Tahir Rana,S/O Tahir Chaudhry,3520271373349,LHR-7679-P,2017,Suzuki,Swift,1500,Punjab,Sargodha,406500,03132892851
Baig Rizvi,S/O Tariq Zaidi,5400061702996,PES-4443-A,2021,Toyota,Yaris,660,KPK,Mingora,111540,03316065388
Saana Raza,S/O Adnan Aslam,6110188005767,QTA-9376-K,2011,Suzuki,Alto,2000,Balochistan,Hub,624000,03217117983
O. Iqbal,S/O Shoaib Hussain,3520270942661,PES-6693-H,2011,BMW,X5,2000,KPK,Mingora,700000,03012453668
S. Akhtar,S/O Usman Cheema,3520268243631,QTA-4646-P,2023,Hyundai,Sonata,800,Balochistan,Quetta,143200,03025927237
Hussain Ali,S/O Tahir Abbasi,4400022037244,PES-3884-U,2007,Honda,CR-V,3000,KPK,Kohat,987000,03329377149
Iqra Gujjar,S/O Mirza Sheikh,6110183734581,MZD-6023-J,2006,Kia,Sportage,1200,Azad Kashmir,Muzaffarabad,410400,03317360505
Asif Rizvi,S/O نادیہ رضا,4400070624681,MZD-7363-A,2011,Hyundai,Elantra,660,Azad Kashmir,Muzaffarabad,147180,03218537871
Ali Syed,S/O Noor Virk,6110149549225,LHR-321-V,2011,Suzuki,Cultus,1600,Punjab,Sialkot,228800,03319128011
,S/O Rabia Bhatti,6110186084497,ISB-2718-H,2015,BMW,7 Series,2500,ICT,Islamabad,,03136243275
Rizwan Qureshi,S/O Saira Hussain,5400094043138,GIL-4840-D,2007,Toyota,Hilux,1800,Balochistan,Khuzdar,183600,03221154505
Arif Virk,S/O Ibrahim Hussain,2130119089715,GIL-423-I,2008,Kia,Stonic,1000,Gilgit-Baltistan,Gilgit,177000,03021751672
Rizwan Iqbal,S/O Sidra Hussain,3520247668612,LHR-8523-A,2007,BMW,7 Series,3500,Punjab,Lahore,675500,03016598972
,S/O Faisal Nawaz,4210116816661,PES-2201-W,2015,Hyundai,Elantra,3000,KPK,Bannu,969000,03469641104
Hashmi Chaudhry,S/O زینب علی,2130161484671,QTA-3923-G,2009,Kia,Picanto,660,Balochistan,Quetta,108240,03323585930
Fatima Rafiq,S/O Shazia Ali,2130186796474,MZD-1522-T,2012,Kia,Sportage,1000,Azad Kashmir,Mirpur,212000,03212570688
A. Mirza,S/O Raja Mirza,6110179661659,KHI-7654-A,2015,Honda,HR-V,1000,Sindh,Sukkur,386000,03321696128
Hussain Ali,S/O Qureshi Zaidi,5400039005955,MZD-8637-X,2011,Honda,City,1600,Azad Kashmir,Muzaffarabad,564800,03451425181
Buhsra Naqvi,S/O Aamir Malik,2130142389125,GIL-407-U,2008,Suzuki,Wagon R,1200,Gilgit-Baltistan,Skardu,212400,03132726284
Saira Raza,S/O Raja Aslam,2130161273588,KHI-337-W,2011,Hyundai,Elantra,1200,Sindh,Larkana,168000,03322075486
Sana Khan,S/O Ahmed Naqvi,3520242071276,QTA-5340-K,2006,BMW,X6,2500,Balochistan,Gwadar,605000,03331880652
Saira Qureshi,S/O Ayesha Akhtar,1330238604543,LHR-4260-I,2017,Suzuki,Wagon R,1000,Punjab,Bahawalpur,149000,03008018930
Chaudhry Hameed,S/O Naveed Hussain,2130143439215,LHR-8042-F,2012,Hyundai,Tucson,1800,Punjab,Rawalpindi,248400,03229842756
Fatima Akhtar,S/O Malik Ahmed,6110139818774,MZD-1972-A,2012,Audi,Q5,4000,Azad Kashmir,Muzaffarabad,700000,03222541699
S. Naqvi,S/O Aamir Bukhari,4400043263557,QTA-4689-K,2020,Kia,Carnival,2500,Balochistan,Turbat,430000,03324166270
Uzma Malik,S/O صنا ملک,4400042480283,MZD-3872-C,2020,Hyundai,Tucson,3000,Azad Kashmir,Mirpur,471000,03318750156
Mirza Sheikh,S/O Salman Syed,4400081501828,ISB-6257-G,2015,Toyota,Yaris,1200,ICT,Islamabad,237600,03112494395
Mirza Baig,S/O Syed Sandhu,2130128555013,QTA-6871-G,2007,Hyundai,Elantra,2000,Balochistan,Turbat,596000,03229737359
Tahir Bhatti,S/O Zubair Gilani,6110121003085,PES-6971-I,2014,Honda,Civic,3000,KPK,Kohat,1038000,03228026853
,S/O Rukhsar Ahmed,,PES-4550-N,2009,Honda,BR-V,1300,KPK,Abbottabad,162500,03127590872
Hashmi Khan,S/O Saira Gondal,,QTA-8599-E,2018,Honda,Civic,1300,Balochistan,Hub,292500,03467722708
,S/O Zubair Cheema,4210140020789,PES-374-S,2010,Toyota,Corolla,1300,KPK,Bannu,200200,03454360746
علی حسین,S/O S/O Kamran Chattha,4400011218357,ISB-5876-S,2011,Suzuki,Wagon R,2500,ICT,Islamabad,505000,03136646375
Rukhsar Gondal,,4210148063498,KHI-1326-L,2013,Mercedes,S-Class,2500,Sindh,Nawabshah,562500,03465405999
Hashmi Khan,S/O Sheikh Tarar,3520219239974,LHR-4737-L,2010,Honda,CR-V,1800,Punjab,Multan,574200,03227995438
Hina Sandhu,S/O Sobia Butt,3520278238294,ISB-5858-Z,2014,Toyota,Hilux,2500,ICT,Islamabad,747500,03228717916
,S/O Mohammad Hussain,1330278612227,PES-587-I,2016,Suzuki,Wagon R,660,KPK,Peshawar,203940,03216757197
Shoaib Latif,S/O S/O زینب علی,5400029738535,KHI-3468-T,2023,Suzuki,Swift,3000,Sindh,Hyderabad,918000,03229624506
Zubair Sheikh,S/O Syed Hameed,1330290733413,LHR-2957-S,2011,Kia,Sportage,2500,Punjab,Sialkot,670000,03459582943
Bilal Hashmi,S/O Zubair Latif,4210172735431,QTA-9755-D,2011,Toyota,Hilux,1500,Balochistan,Hub,324000,03016745716
Saira Karim,,6110115250776,MZD-5578-F,2017,Honda,City,660,Punjab,Bahawalpur,248820,03126446791
Raja Bhatti,,3520293436857,KHI-8688-S,2017,Honda,HR-V,1200,Sindh,Larkana,237600,03114820831
Rizwan Baig,S/O S/O Asif Tarar,1330238235219,MZD-8086-V,2011,Honda,HR-V,3000,Azad Kashmir,Mirpur,519000,03009825074
Waseem Chattha,S/O Hamid Iqbal,5400074185263,QTA-8673-S,2018,Suzuki,Swift,1500,Balochistan,Turbat,543000,03217232191
Shazia Syed,S/O Mohammad Khan,4210147801746,PES-7691-D,2012,Suzuki,Jimny,660,KPK,Kohat,,03005342322
Sajid Akhtar,S/O Naeem Chattha,6110146532827,QTA-1556-W,2008,Toyota,Yaris,2500,Balochistan,Gwadar,455000,03457093060
Nadia Chaudhry,S/O Tariq Khan,2130130536716,LHR-2145-H,2019,Hyundai,Sonata,1300,Punjab,Gujranwala,395200,03226464405
Iqra Rafiq,S/O Naveed Sandhu,4210151433491,KHI-2619-A,2014,Honda,BR-V,1000,Sindh,Sukkur,152000,03124971929
K. Syed,S/O Noor Bhatti,5400029018134,MZD-9057-Y,2020,Toyota,Corolla,1800,Azad Kashmir,Muzaffarabad,658800,03024536700
Sheikh Hussain,S/O Baig Iqbal,3520277769891,LHR-8285-T,2005,Suzuki,Wagon R,1500,Punjab,Bahawalpur,294000,03469413811
Ahmed Bhatti,S/O Naeem Aslam,1330252229578,LHR-684-W,2007,Hyundai,Tucson,660,Punjab,Sialkot,248160,03123109269
Omar Malik,S/O Waseem Latif,5400063713483,GIL-7366-X,2005,Hyundai,Elantra,800,Gilgit-Baltistan,Skardu,312800,03028402708
,,21301-8387014-8,PES-7001-R,2006,Honda,Civic,1800,KPK,Mingora,563400,03311735594
Mirza Hussain,S/O Usman Qureshi,2130119260122,ISB-2124-Y,2007,Kia,Stonic,3000,ICT,Islamabad,825000,03018711468
Qureshi Sandhu,S/O Baig Bhatti,4400033114042,QTA-9042-V,2013,Hyundai,Sonata,1300,Balochistan,Quetta,276900,03126902041
Rukhsar Hameed,S/O Asif Karim,3520283653438,ISB-2426-R,2017,Honda,Civic,660,ICT,Islamabad,252780,03337699704
Shazia Hashmi,S/O Adnan Malik,1330247645001,MZD-2215-L,2014,Toyota,Yaris,2000,Azad Kashmir,Mirpur,416000,03138628991
محمد احمد,S/O Waseem Karim,2130193276985,QTA-8752-Y,2010,Honda,BR-V,660,Balochistan,Khuzdar,118140,03037756005
Hashmi Qureshi,S/O Adnan Karim,2130137560961,ISB-5817-X,2005,Suzuki,Wagon R,1600,ICT,Islamabad,233600,03316731933
Sidra Cheema,S/O Rukhsar Zaidi,4400097690899,PES-3219-X,2005,Suzuki,Wagon R,660,KPK,Mardan,213840,03463501378
Omar Butt,S/O Iqra Gujjar,2130131657501,QTA-3408-C,2020,Toyota,Fortuner,1800,Balochistan,Turbat,199800,03451727321
A. Gilani,S/O Syed Chaudhry,2130149916695,QTA-9043-R,2012,Suzuki,Jimny,1000,Balochistan,Turbat,230000,03015677917
Kashif Raza,S/O Asma Chaudhry,6110139790237,ISB-1167-J,2008,Mercedes,E-Class,2500,ICT,Islamabad,400000,
Shazia Baig,,4400082490428,KHI-7119-O,2006,Honda,Civic,1600,Sindh,Karachi,513600,03332602797
Zainab Sandhu,S/O Raja Nawaz,1330241424793,KHI-6794-H,2006,Honda,Civic,3500,Sindh,Karachi,1158500,03216322728
Hina Rana,S/O Mirza Butt,4210165398912,MZD-2282-J,2009,Honda,City,1800,Azad Kashmir,Rawalakot,288000,03004449048
Naveed Cheema,S/O Sajid Gondal,5400069002473,LHR-2997-H,2017,Hyundai,Santa Fe,3500,Punjab,Rawalpindi,,03226185050
Zubair Latif,S/O صنا ملک,4210175904096,LHR-6390-C,2015,Toyota,Land Cruiser,1300,Punjab,Faisalabad,365300,03002770768
A. Butt,S/O Usman Cheema,4210154709691,KHI-570-T,2009,Kia,Stonic,1500,Sindh,Larkana,342000,03122348402
Iqra Syed,S/O Iqra Chattha,1330251986765,GIL-9499-R,2014,Suzuki,Jimny,2000,Gilgit-Baltistan,Skardu,436000,03221275536
Faisal Hameed,S/O Saira Qureshi,1330250817242,MZD-9169-M,2005,Suzuki,Jimny,1300,Azad Kashmir,Mirpur,148200,03129425599
Imran Baig,S/O Chaudhry Raja,3520268025956,MZD-5848-W,2017,Hyundai,Sonata,1300,Azad Kashmir,Rawalakot,178100,03012900417
Hashmi Qureshi,S/O Ahmed Khan,2130120462281,KHI-8673-J,2006,Kia,Carnival,1600,Sindh,Mirpurkhas,521600,03453356657
Khalid Gilani,S/O Tariq Zaidi,6110136911063,QTA-8230-K,2020,Hyundai,Sonata,1500,Balochistan,Khuzdar,451500,03457202218
Sana Hussain,S/O Khalid Bukhari,4400050344537,MZD-6502-M,2008,Suzuki,Swift,1500,Azad Kashmir,Mirpur,495000,03133347981
Tahir Sheikh,S/O Amna Raza,5400056874392,ISB-9511-G,2013,Hyundai,Sonata,3000,ICT,Islamabad,669000,03451389380
,S/O Mehwish Chattha,5400052072449,MZD-1499-F,2013,Suzuki,Swift,1800,Azad Kashmir,Rawalakot,198000,03116666017
Saira Cheema,S/O Rizwan Syed,3520239103063,ISB-272-V,2016,Toyota,Yaris,1200,ICT,Islamabad,298800,03455140773
Mehwish Raja,S/O Iqra Cheema,4400065467444,KHI-1600-P,2006,Suzuki,Alto,1500,Sindh,Mirpurkhas,324000,
Fatima Chattha,S/O Rukhsar Gilani,3520220414682,LHR-902-U,2017,Suzuki,Wagon R,1500,Punjab,Multan,525000,03031632454
Bushra Nawaz,S/O Raja Gilani,5400055101783,ISB-7873-F,2013,Toyota,Corolla,1300,ICT,Islamabad,336700,03014518167
Qureshi Raja,S/O Kashif Mirza,3520233149699,LHR-2104-K,2010,Toyota,Corolla,1200,Punjab,Multan,327600,03019219270
Hashmi Rafiq,S/O Saira Virk,1330231018709,GIL-7012-O,2017,Honda,CR-V,1200,Gilgit-Baltistan,Gilgit,184800,03323317607
Asif Latif,S/O Sheikh Rizvi,4400030686502,ISB-233-B,2007,Kia,Carnival,1200,ICT,Islamabad,394800,03005197783
Zubair Chaudhry,S/O نادیہ رضا,1330267735214,QTA-6522-D,2007,Kia,Carnival,1000,Balochistan,Hub,393000,03138863868
Malik Naqvi,S/O Sidra Hussain,6110120661224,GIL-6540-N,2019,Hyundai,Tucson,1200,Gilgit-Baltistan,Skardu,476400,03455841038
Naeem Hasshmi,S/O Zainab Latif,3520215971052,MZD-9839-H,2023,Hyundai,Sonata,1300,ICT,Islamabad,438100,03118158788
Amna Bhatti,S/O Muhammad Butt,3520251487177,ISB-361-G,2018,Honda,City,2000,ICT,Islamabad,442000,
Salman Rafiq,S/O Waseem Qureshi,4400011084046,KHI-3196-X,2015,Suzuki,Swift,1000,Sindh,Sukkur,247000,03456078183
Tahir Butt,S/O Bilal Gilani,4400031516101,MZD-9786-S,2013,Honda,HR-V,800,Azad Kashmir,Muzaffarabad,220800,03221546310
Aamir Gujjar,S/O نادیہ رضا,4210159679372,MZD-6325-H,2007,Hyundai,Tucson,3000,Azad Kashmir,Mirpur,828000,03022901599
Qureshi Butt,S/O Malik Raja,2130180827635,MZD-794-L,2021,Honda,City,2500,Azad Kashmir,Muzaffarabad,747500,03468829947
Imran Butt,S/O Nadia Chattha,5400084396665,LHR-3170-T,2010,Toyota,Hilux,1600,Balochistan,Turbat,515200,03323023669
Shazia Baig,S/O Tariq Akhtar,1330227038403,LHR-5433-S,2013,Hyundai,Tucson,660,Punjab,Bahawalpur,192060,03138601139
Amna Zaidi,S/O نادیہ رضا,1330235483054,MZD-9918-T,2006,Toyota,Hilux,1000,Azad Kashmir,Rawalakot,395000,03468150871
Shazia Zaidi,S/O Salman Ansari,4400057801771,MZD-9891-S,2019,Kia,Carnival,2000,Azad Kashmir,Muzaffarabad,470000,03039686388
Mehwish Raja,S/O Nadia Zaidi,4400079802398,KHI-2349-Y,2005,Toyota,Corolla,1500,Sindh,Hyderabad,327000,03138153327
Malik Rana,S/O ابراہیم ملک,1330225489637,PES-5368-J,2009,Kia,Sportage,660,ICT,Islamabad,150480,03312170441
Salman Sandhu,S/O Naveed Syed,4210144319822,QTA-9578-F,2020,Kia,Stonic,2000,Balochistan,Gwadar,646000,03216450844
Raja Ahmed,S/O Naveed Jafri,6110160674228,MZD-9929-L,2021,Honda,CR-V,3000,Azad Kashmir,Rawalakot,777000,03119425574
Zubair Sandhu,S/O Asif Chattha,4400024096989,LHR-2702-Q,2007,Kia,Carnival,1500,Punjab,Multan,568500,03213696717
Rukhsar BBaig,S/O Hassan Rana,1330284606624,LHR-8900-Q,2009,Suzuki,Cultus,660,ICT,Islamabad,108240,
Usman Sandhu,S/O Hussain Butt,5400038144467,ISB-272-N,2011,Hyundai,Santa Fe,1600,ICT,Islamabad,577600,03012743227
Asma Sandhu,S/O Zubair Syed,4210137220563,MZD-2686-P,2015,Toyota,Land Cruiser,1000,Azad Kashmir,Muzaffarabad,193000,03453777286
Malik Virk,S/O Faisal Bhatti,4400046542071,GIL-1916-L,2011,Suzuki,Swift,2500,Gilgit-Baltistan,Chilas,360000,03219452659
Hamid Syed,S/O Sheikh Malik,4210128481161,MZD-6111-E,2014,Audi,A6,2500,Azad Kashmir,Rawalakot,397500,03118724035
S. Chaudhry,S/O Sajid Gondal,4400091408187,PES-7761-D,2023,Honda,Civic,1000,KPK,Kohat,225000,03228024192
Kashif Raja,S/O Tariq Tarar,6110179239279,MZD-7802-G,2017,Honda,HR-V,1800,Azad Kashmir,Muzaffarabad,316800,03137897167
Zainab Rafiq,S/O Amna Virk,2130164935497,LHR-2615-Z,2015,Hyundai,Santa Fe,2000,Punjab,Lahore,448000,03459799214
Shazia Zaidi,S/O Mirza Hameed,5400045661167,MZD-5646-L,2016,Toyota,Yaris,1600,Azad Kashmir,Mirpur,382400,03465655218
Hamid Virk,S/O مریم چودھری,1330282868288,QTA-3374-K,2006,Hyundai,Tucson,2000,Balochistan,Khuzdar,486000,03028181112
Ibrahim Butt,S/O Hassan Cheema,5400072716326,MZD-384-A,2010,Toyota,Yaris,1200,Azad Kashmir,Muzaffarabad,435600,03113141911
Zainab Virk,S/O Iqra Sheikh,6110148585318,KHI-8887-V,2010,Suzuki,Wagon R,2000,Sindh,Larkana,712000,03225580046
Shazia Khan,S/O Sheikh Rana,4400038790237,ISB-9302-G,2018,Suzuki,Cultus,1200,ICT,Islamabad,300000,03036043230
Ahmed Syed,S/O S/O مریم چودھری,4210115246864,LHR-9681-M,2021,Honda,City,2500,Punjab,Sargodha,477500,03467519606
Hina Ahmed,S/O Muhammad Latif,5400059972873,GIL-3777-Q,2015,Suzuki,Wagon R,1300,Gilgit-Baltistan,Skardu,340600,03215498258
Ali Aslam,S/O Arif Virk,4400053943565,LHR-8570-F,2021,Kia,Picanto,2000,Punjab,Sargodha,782000,03337294416
Khalid Hussain,S/O Naveed Ansari,5400063338341,KHI-3915-D,2022,Toyota,Camry,1600,Sindh,Sukkur,262400,03465207762
H. Bukhari,S/O Waseem Sandhu,4210134792597,GIL-7367-P,2009,Kia,Sportage,1300,Gilgit-Baltistan,Gilgit,386100,03221232979
I. Abbasi,S/O Hashmi Mirza,2130138054895,LHR-1770-C,2018,Honda,City,660,Punjab,Rawalpindi,159720,03039900657
Waseem Syed,S/O Iqra Sheikh,6110192123765,QTA-4212-K,2012,Suzuki,Bolan,1600,Balochistan,Turbat,481600,03322807922
Sobia Syed,S/O Qureshi Akhtar,4400073274718,KHI-8263-E,2007,Honda,BR-V,800,Sindh,Karachi,210400,03132004613
Irahim Rafiq,S/O Noor Ali,4400078152926,KHI-3313-X,2019,Hyundai,Santa Fe,2000,Sindh,Karachi,498000,03462281703
Ali Naqvi,S/O Saira Gilani,4400030638778,QTA-3388-Q,2015,Honda,HR-V,2500,Balochistan,Gwadar,777500,03318042146
Uzma Akhtar,S/O Iqra Naqvi,6110140196924,MZD-2872-D,2019,Hyundai,Sonata,2000,Azad Kashmir,Muzaffarabad,624000,03317937827
Tahir Gujjar,S/O Zainab Virk,2130186155692,QTA-4642-H,2007,Audi,Q5,3000,Balochistan,Turbat,858000,03312692278
صنا ملک,S/O Iqra Abbasi,2130131861625,ISB-5090-O,2006,Suzuki,Swift,1800,ICT,Islamabad,210600,03032371379
Shazia Bukhari,,35202-4100561-3,LHR-4075-H,2017,Kia,Carnival,1600,Punjab,Gujranwala,494400,03029581797
Mohammad Chaudhry,S/O Aamir Hameed,1330224238373,GIL-8526-X,2006,Hyundai,Sonata,3000,Gilgit-Baltistan,Gilgit,375000,03018263884
Mirza Jafri,S/O Adnan Qureshi,6110183544679,LHR-9016-I,2009,Honda,Civic,1500,Punjab,Sialkot,237000,03018738391
Mehwish Mirza,S/O Naeem Butt,5400015686266,MZD-3451-U,2007,Toyota,Hilux,1600,Azad Kashmir,Rawalakot,576000,03006669850
محمد حسن,S/O Bilal Nawaz,3520292924161,PES-7065-K,2018,Hyundai,Tucson,3000,KPK,Bannu,486000,03227003135
Usman Rana,S/O Arif Chattha,6110184287367,GIL-4156-Z,2010,Toyota,Fortuner,1800,Gilgit-Baltistan,Skardu,514800,03334654364
Imran Raja,S/O Ayesha Rafiq,5400090997092,LHR-2589-E,2014,Kia,Sportage,3000,Punjab,Multan,522000,03213470977
H. Qureshi,S/O Arif Chaudhry,3520268249037,GIL-4858-U,2021,Suzuki,Wagon R,1300,Gilgit-Baltistan,Chilas,237900,03314632352
Mohammad Tarar,S/O Khalid Qureshi,1330256480919,KHI-1009-P,2008,Mercedes,C-Class,3000,Sindh,Mirpurkhas,1197000,03338963631
Kamran Butt,S/O Tariq Sandhu,4400041905964,KHI-5410-T,2013,Suzuki,Jimny,660,Sindh,Mirpurkhas,162360,03321266695
S. Bukhari,S/O Shoaib Virk,2130161039834,PES-6257-I,2019,Hyundai,Elantra,1600,KPK,Abbottabad,476800,03009271993
Noor Bukhari,S/O Usman Hashmi,6110114620422,GIL-8136-J,2019,Honda,Civic,1000,Gilgit-Baltistan,Chilas,398000,03315565225
Bushra Hameed,S/O Mohammad Virk,1330223815603,PES-9345-M,2017,Honda,HR-V,1200,KPK,Kohat,166800,03222120379
Arif Rana,S/O Waseem Abbasi,5400067480055,ISB-123-N,2008,Hyundai,Tucson,2500,ICT,Islamabad,442500,03213764732
Fatima Hashmi,S/O Naeem Cheema,5400048597148,QTA-4680-G,2012,BMW,X5,3500,Balochistan,Gwadar,661500,03317994335
Naeem Raja,S/O Nadia Gondal,3520235952059,MZD-4364-B,2013,Hyundai,Tucson,660,Azad Kashmir,Muzaffarabad,176880,03223245044
Asma Karim,S/O Qureshi Raja,5400058637897,MZD-1398-H,2010,Suzuki,Cultus,1200,Azad Kashmir,Mirpur,350400,03227393458
Mirza Gilani,S/O Uzma Rana,4400018691442,MZD-833-D,2013,Audi,A4,4000,Azad Kashmir,Rawalakot,828000,03453380969
Mirza Gilani,S/O Uzma Rana,4400018691442,MZD-8104-N,2020,Hyundai,Elantra,2000,Azad Kashmir,Rawalakot,604000,03453380969
Zubair Tarar,S/O Zainab Virk,4210134990281,ISB-4245-Q,2007,Kia,Carnival,660,ICT,Islamabad,221100,03215391265
Hassan Aslam,S/O Mehwish Tarar,3520252358848,LHR-7446-R,2023,Kia,Sportage,2000,Punjab,Gujranwala,734000,03212242892
Iqra Gilani,S/O Noor Hameed,2130157467025,LHR-9124-L,2017,Suzuki,Wagon R,1800,Punjab,Lahore,705600,03226251441
Syed Ansari,S/O Mirza Abbasi,54000-2153651-7,QTA-2226-S,2014,Honda,CR-V,800,Balochistan,Khuzdar,,
Iqra Butt,S/O Hashmi Aslam,5400057692004,KHI-4224-U,2016,Kia,Picanto,3000,Sindh,Sukkur,411000,03114030793
Sidra Bhatti,,5400032995221,GIL-3315-T,2023,Suzuki,Alto,1000,Gilgit-Baltistan,Skardu,378000,03315723052
Muhammad Ahmed,S/O Ali Ahmed,2130128135326,MZD-4162-C,2020,Toyota,Yaris,1600,Azad Kashmir,Muzaffarabad,523200,03319312731
Maryam Aslam,S/O Baig Syed,3520278897434,LHR-6483-J,2011,Honda,Civic,1500,Punjab,Sargodha,315000,03465822224
S. Hashmi,S/O Aamir Karim,3520227954506,PES-4792-Q,2009,Honda,Civic,3000,KPK,Peshawar,585000,03027503823
Muhammad Sandhu,S/O Mohammad Sheikh,4210134011618,GIL-2756-O,2014,Hyundai,Santa Fe,2500,Gilgit-Baltistan,Gilgit,260000,03037864658
Naeem Mirza,S/O Naeem Gilani,2130177855117,ISB-2112-A,2022,Audi,Q5,3000,ICT,Islamabad,396000,03221098967
Naveed Jafri,S/O Ayesha Rana,6110166965984,GIL-5512-P,2013,Hyundai,Elantra,1800,Gilgit-Baltistan,Chilas,601200,03324207540
Sobia Rizvi,S/O Sheikh Malik,6110126373877,LHR-1972-P,2018,BMW,5 Series,2500,Punjab,Multan,970000,03024751330
Sana Sandhu,S/O Hussain Gujjar,4210151206576,KHI-2220-W,2019,Kia,Stonic,3000,Sindh,Sukkur,960000,03023256011
Amna Virk,S/O Saira Raja,4210164303288,PES-5784-V,2005,Kia,Stonic,2500,KPK,Mardan,512500,03313726425
Mohammad Naqvi,S/O Hina Gujjar,2130111802714,GIL-3880-F,2023,Kia,Sportage,1000,Gilgit-Baltistan,Skardu,159000,03036224220
Hamid Hameed,S/O Nadia Sandhu,2130136499917,GIL-1184-N,2009,Mercedes,GLE,3500,Gilgit-Baltistan,Skardu,395500,03451020073
Ali Raja,S/O Shoaib Latif,4210114864168,QTA-9755-K,2017,Suzuki,Jimny,800,Balochistan,Gwadar,300000,03131902612
Adnan Iqbal,S/O Omar Bhatti,3520230262789,PES-685-P,2006,Suzuki,Bolan,1600,KPK,Mardan,459200,03224546055
Khalid Akhtar,S/O احمد خان,4400035425073,ISB-3607-D,2005,Honda,City,800,ICT,Islamabad,124800,03014533419
H. Chaudhry,S/O Shoaib Hameed,6110135222158,MZD-7641-G,2013,Honda,CR-V,3000,Azad Kashmir,Mirpur,,03326776103
Amna Rana,S/O Rukhsar Qureshi,3520270939267,PES-1175-T,2015,Toyota,Fortuner,1200,Sindh,Sukkur,271200,03004172836
K. Chaudhry,S/O Imran Raza,5400068726651,PES-4438-H,2010,Hyundai,Sonata,1000,KPK,Abbottabad,342000,03037110995
Salman Baig,S/O Sobia Tarar,1330235341132,ISB-5783-U,2013,Honda,CR-V,1200,ICT,Islamabad,408000,03337099251
Mirza Aslam,S/O Rukhsar Raza,5400025595506,MZD-1084-W,2018,Mercedes,S-Class,4000,Azad Kashmir,Muzaffarabad,740000,03119003157
AmnaC haudhry,S/O Sobia Virk,1330214888045,LHR-4509-I,2008,Suzuki,Alto,660,Punjab,Faisalabad,139920,03027250732
ابراہیم ملک,S/O Sidra Abbasi,3520210952508,ISB-7735-R,2007,Hyundai,Sonata,1000,ICT,Islamabad,131000,03462175054
Ali Gilani,S/O Naveed Raja,4400026097283,GIL-3504-F,2015,Honda,HR-V,660,Gilgit-Baltistan,Chilas,,03336937212
Faisl Tarar,S/O Sheikh Naqvi,4400095437689,ISB-621-P,2023,Honda,HR-V,1300,ICT,Islamabad,301600,03336386017
Ibrahim Ansari,S/O Asma Bukhari,2130194046105,ISB-5308-U,2015,Suzuki,Swift,660,ICT,Islamabad,91740,03324252186
Amna Karim,S/O Raja Gondal,2130191917511,PES-673-A,2016,Kia,Stonic,1600,KPK,Mingora,392000,03126005493
Fatima Gujjar,S/O Ahmed Gujjar,2130199512723,GIL-2968-D,2016,Suzuki,Swift,2000,Gilgit-Baltistan,Gilgit,776000,03006875517
Rabia Jafri,S/O Shazia Gilani,4400027369621,KHI-7963-R,2019,BMW,3 Series,3500,Sindh,Sukkur,581000,03326458616
Syed Nawaz,S/O Sobia Jafri,2130151324002,KHI-1809-G,2009,Toyota,Fortuner,3500,Sindh,Nawabshah,,03467301078
Asma Buukhari,S/O Mehwish Chattha,4400049253878,LHR-9168-H,2020,Suzuki,Swift,3000,ICT,Islamabad,576000,03132913648
Qureshi Rana,S/O Asma Sandhu,5400050144864,QTA-5150-P,2021,Hyundai,Elantra,1300,Balochistan,Turbat,291200,03034906349
Ayesha Naqvi,S/O Zainab Hameed,3520218746066,LHR-4941-M,2018,Suzuki,Alto,1300,Punjab,Multan,292500,03312690500
Tahir Raja,S/O Ayesha Ahmed,5400040230926,KHI-2752-C,2010,Honda,HR-V,2500,Sindh,Sukkur,435000,03015864248
Fatima Aslam,S/O Arif Malik,5400078131123,QTA-4529-N,2022,Suzuki,Wagon R,1300,Balochistan,Hub,377000,03135352207
Rabia Gondal,S/O Asma Bukhari,6110138100817,ISB-3250-S,2009,Suzuki,Bolan,3000,ICT,Islamabad,309000,03215518616
