Name,Father_Name,CNIC,Annual_Recharge_Amount,Phone_Number,City,Province
Kamran Mirza,S/O Omar Sandhu,4210174828856,5634,03214444176,Larkana,Sindh
Raja Chuadhry,S/O Mirza Khan,1330268297904,100483,03006852757,Chilas,Gilgit-Baltistan
Amna Bhatti,S/O Muhammad Butt,3520251487177,26202,03469449101,Islamabad,ICT
Muhammad Ahmed,S/O Sobia Sandhu,35202-9421664-5,40685,03452043031,Lahore,Punjab
Bilal Raja,S/O Nadia Zaidi,1330233483317,160726,03129664623,Multan,Punjab
Bilal Bukhari,S/O Tariq Hameed,6110190339443,109160,03315224686,Gilgit,Gilgit-Baltistan
,S/O S/O Baig Nawaz,3520253646987,853,03118072684,Abbottabad,KPK
Hassan Gilani,S/O Iqra Ali,5400019309204,10963,03467462239,Sukkur,Sindh
Naveed Gujjar,S/O Ayesha Gondal,4400073343484,34689,03007211871,Bannu,KPK
Ali Khan,S/O Noor Syed,4210182020293,27548,03038018607,Sargodha,Punjab
Sidra Jafri,S/O Raja Sheikh,4210189896733,25576,03129655173,Mirpur,Azad Kashmir
Hamid Malik,S/O Asma Zaidi,2130149868879,18529,03022866355,Bahawalpur,Punjab
Aamir Virk,S/O Khalid Ali,4400057350199,31573,,Karachi,Sindh
Aamir Rafiq,S/O Hassan Rana,6110113502682,4380,03335892967,Gilgit,Gilgit-Baltistan
Sidra Chaudhry,S/O Imran Jafri,2130122472929,15530,03451311829,Gilgit,Gilgit-Baltistan
Ali Qureshi,S/O Bilal Ansari,1330292483882,11054,03033106564,Islamabad,ICT
,S/O Muhammad Gondal,1330283968806,19241,03331474171,Peshawar,KPK
Sidra Mirzza,S/O Waseem Cheema,3520227493165,130277,03314105842,Chilas,Gilgit-Baltistan
Naveed Jafri,S/O Ayesha Chaudhry,4400076800091,49147,03469582833,Islamabad,ICT
ابراہیم ملک,S/O Sidra Raja,3520258532473,19740,03211615190,Sialkot,Punjab
Zubair Abbasi,S/O Waseem Naqvi,4210127182864,20069,03459818990,Islamabad,ICT
Sana Akhtar,S/O Usman Cheema,3520268243631,7816,03025927237,Quetta,Balochistan
Kashif Ali,S/O Waseem Cheema,6110194152012,118981,03029907075,Mirpur,Azad Kashmir
Maryam Chattha,S/O Hashmi Ahmed,1330243259697,56120,03027705326,Chilas,Gilgit-Baltistan
Malik Aslam,S/O Rukhsar Akhtar,4400043279789,152925,03028795152,Islamabad,ICT
Sana Raja,S/O Hassan Zaidi,4210178135605,158896,03464204558,Lahore,Punjab
Waseem Tarar,S/O Rizwan Nawaz,2130176211236,5648,03017858317,Abbottabad,KPK
محمد علی,S/O Iqra Bukhari,3520216729532,14282,03005402509,Quetta,Balochistan
Sajid Ansari,S/O Qureshi Bukhari,5400030747103,12319,03313585824,Sukkur,Sindh
Sheikh Raza,S/O Saira Virk,4210159168194,22263,03038647410,Gilgit,Gilgit-Baltistan
Khalid Tarar,S/O Kamran Raza,,,03029292319,Turbat,Balochistan
Tahir Rana,S/O Tahir Chaudhry,3520271373349,22836,03132892851,Sargodha,Punjab
Sajid Abbasi,,4400032761718,81583,03008148217,Khuzdar,Balochistan
Uzma Bukhari,S/O مریم چودھری,4400082740192,296506,03014683937,Multan,Punjab
Uzma Rizvi,S/O Sana Tarar,4400022625863,31963,03327548922,Mirpur,Azad Kashmir
Ayesha Syed,S/O Shazia Ahmed,2130154426787,47412,03038685722,Rawalakot,Azad Kashmir
Chaudhry Latif,S/O Asma Karim,4210131233883,62629,03006237384,Gilgit,Gilgit-Baltistan
Maryam Rizvi,S/O Tariq Chattha,4210137808883,,03039758442,Gilgit,Gilgit-Baltistan
Amna Raja,S/O Tahir Bukhari,4210181073421,9786,03461902591,Bannu,KPK
Zubair Sandhu,S/O Asif Chattha,4400024096989,72653,03213696717,Multan,Punjab
Noor Sheikh,S/O S/O Qureshi Syed,2130161684265,7650,,Skardu,Gilgit-Baltistan
Maryam Buhari,S/O Hashmi Qureshi,5400073128445,262481,03139254874,Rawalakot,Azad Kashmir
Raja Sheikh,S/O Khalid Naqvi,1330298612103,9622,03328137510,Abbottabad,KPK
Hashmi Qureshi,S/O Ahmed Khan,21301-2046228-1,27317,03453356657,Mirpurkhas,Sindh
علی حسین,S/O Naeem Sandhu,4400073998123,9666,03325546458,Hub,Balochistan
Kashif Jafri,S/O Hussain Virk,4400081138034,31851,03139753488,Hyderabad,Sindh
Noor Iqbal,S/O مریم چودھری,5400074787335,23774,03116074298,Chilas,Gilgit-Baltistan
Zubair Hussain,S/O Waseem Gondal,3520239106829,20650,03335675458,Sialkot,Punjab
Iqra Raja,S/O Hina Rizvi,2130178483236,40503,03139150736,Khuzdar,Balochistan
Hassan Hameed,S/O Kamran Latif,6110130197697,19494,03128274146,Hub,Balochistan
,S/O Chaudhry Naqvi,4400064417617,622544,03123941566,Gujranwala,Punjab
Zainab Hussain,S/O Kashif Akhtar,1330233584535,28910,03039093231,Gilgit,Gilgit-Baltistan
Rizwan Abbasi,S/O Imran Naqvi,4400078229073,30787,03459147070,Islamabad,ICT
Maryam Cheema,S/O Saira Rana,1330291207793,4017,03032279911,Abbottabad,KPK
Muhammad Sheikh,S/O Mohammad Ansari,5400049281886,446932,03114021783,Khuzdar,Balochistan
Syed Mirza,S/O Khalid Raza,4400066650785,13233,03032918105,Islamabad,ICT
Maryam Syed,S/O Baig Naqvi,6110144121109,110861,03138497265,Hub,Balochistan
Kamran Rizvi,S/O Tahir Gilani,2130186936777,10184,03113630468,Lahore,Punjab
Zainab Raja,S/O Bushra Jafri,2130158246963,,03451356625,Hyderabad,Sindh
Hussain Bukhari,S/O Waseem Sandhu,4210134792597,18481,03221232979,Gilgit,Gilgit-Baltistan
Amna Hashmi,S/O Uzma Bukhari,2130186022359,,03015288872,Rawalpindi,Punjab
زینب علی,S/O Tariq Iqbal,6110174728354,62722,03112315491,Skardu,Gilgit-Baltistan
Baig Syed,S/O Chaudhry Mirza,4400040690641,80536,03137599935,Islamabad,ICT
Uzma Bhatti,S/O Shoaib Ahmed,4400061153132,29384,03023607555,Mirpur,Azad Kashmir
احمد خان,S/O Khalid Virk,5400032690583,22404,03005617103,Lahore,Punjab
Arif Ansari,,5400018666952,26791,03219177478,Islamabad,ICT
Fatima Iqbal,S/O S/O Omar Abbasi,6110183445466,64976,03316209788,Muzaffarabad,Azad Kashmir
Fatima Ali,S/O Nadia Ahmed,3520293754566,16251,03223858903,Khuzdar,Balochistan
محمد احمد,S/O Mirza Qureshi,4400062272614,60625,03335107753,Turbat,Balochistan
Ibrahim Hussain,S/O Ibrahim Rana,4210149220621,9946,03132808703,Hyderabad,Sindh
Bushra Bhatti,S/O Ahmed Cheema,4400051626203,33640,03224760289,Bannu,KPK
Mehwish Gondal,S/O Sajid Khan,6110124538636,29367,03328279463,Gwadar,Balochistan
Ahmed ujjar,S/O Faisal Virk,4210149314401,7583,03338386580,Sialkot,Punjab
Iqra Raja,S/O Baig Chaudhry,4400049389568,5059,03002024357,Bannu,KPK
Rukhsar Latif,S/O Asif Cheema,1330233817141,30612,03328612879,Turbat,Balochistan
Arif Hashmi,S/O Shazia Mirza,3520277658801,9731,03021303490,Abbottabad,KPK
Kashif Bukhari,S/O Fatima Bukhari,4400022237061,52786,03339068260,Bannu,KPK
Salman Hashmi,,4400047560282,39066,03315674754,Mirpur,Azad Kashmir
Khalid Akhtar,S/O Tariq Hussain,1330263939209,153415,03468776438,Karachi,Sindh
Fatima Chaudhry,S/O Hashmi Baig,4400025564238,25087,03135808970,Mardan,KPK
Muhammad Rana,S/O Hina Qureshi,5400027352438,30906,03328939621,Kohat,KPK
Ahmed Zaidi,S/O Tariq Hashmi,6110194847572,41617,03007667870,Mardan,KPK
Sobia Gondal,S/O Rukhsar Raza,5400096291016,9484,03132021413,Muzaffarabad,Azad Kashmir
Sobia Baig,S/O Ahmed Tarar,,121688,03324519520,Kohat,KPK
Chaudhry Hashmi,S/O Usman Qureshi,3520293880901,5230,03314524729,Nawabshah,Sindh
Ali Chattha,S/O Ayesha Virk,3520225070307,17296,03213497816,Mirpur,Azad Kashmir
Waseem Virk,S/O Salman Rana,4400068732799,47285,03336810876,Skardu,Gilgit-Baltistan
Shoaib Akhtar,S/O Tahir Sandhu,1330211611809,40322,03463015336,Bahawalpur,Punjab
Ali Nawaz,S/O Rabia Mirza,4400064813955,11210,03116127028,Muzaffarabad,Azad Kashmir
علی حسین,S/O Baig Bukhari,2130111199458,6912,03467222040,Peshawar,KPK
Hashmi Naqvi,S/O Baig Qureshi,35202-1822257-9,16118,03027504497,Mirpur,Azad Kashmir
Khaliid Rafiq,S/O Qureshi Hameed,4210171648273,3809,03214388603,Rawalakot,Azad Kashmir
Asma Syed,S/O Ali Aslam,6110124273887,85947,03453262755,Larkana,Sindh
Sidra Raja,S/O عمر شیخ,2130153954624,108561,03016771909,Kohat,KPK
Hamid Akhtar,,5400051106197,18184,03338029501,Faisalabad,Punjab
,S/O محمد علی,4210139081007,28805,03223112643,Nawabshah,Sindh
ابراہیم ملک,S/O Hashmi Qureshi,4400051125463,230561,03004909053,Rawalakot,Azad Kashmir
Hashmi Khhan,S/O Syed Bukhari,3520235061358,,03001010601,Karachi,Sindh
Mohammad Jafri,S/O Chaudhry Baig,2130192069847,32807,03119514225,Mirpur,Azad Kashmir
Kashif Tarar,S/O Omar Zaidi,4210191624508,178152,03037800102,Gwadar,Balochistan
Adnan Gilani,S/O Qureshi Latif,6110190391842,46018,03225894181,Bahawalpur,Punjab
Rukhsar Latif,S/O Zubair Gondal,61101-2696630-3,15135,03312744116,Muzaffarabad,Azad Kashmir
Baig Gujjar,S/O Hina Zaidi,2130154720074,29841,03461699056,Gilgit,Gilgit-Baltistan
Omar Chaudhry,S/O Asma Jafri,4210129669084,44354,03333371850,Skardu,Gilgit-Baltistan
Imran Syed,S/O Hussain Tarar,3520281512861,10352,03024962540,Skardu,Gilgit-Baltistan
Fatima Qureshi,S/O Raja Ahmed,4210170451025,9732,03113089926,Islamabad,ICT
Hamid Ali,S/O Ayesha Qureshi,2130197505554,28854,03458607440,Chilas,Gilgit-Baltistan
Saira Gilani,S/O Asma Hussain,1330242945529,50072,03211180862,Sukkur,Sindh
Hussain Nawaz,S/O Tariq Sheikh,3520283986164,102806,,Islamabad,ICT
Asma Ali,S/O Noor Iqbal,6110188903169,190780,03023251525,Islamabad,ICT
Mehwish Mirza,,2130110432925,36295,03321798227,Islamabad,ICT
Maryam Bhatti,S/O Salman Jafri,4210155237957,35463,03023451220,Karachi,Sindh
Usman Gujjar,S/O Sana Ali,2130150585033,40515,03464547204,Skardu,Gilgit-Baltistan
Sheikh Sheikh,S/O Bilal Akhtar,2130181694237,1234,,Islamabad,ICT
Hina Raja,S/O Omar Raza,3520217802941,15490,03323897834,Mirpurkhas,Sindh
Amna Cheema,S/O Qureshi Tarar,4210137536644,20296,,Islamabad,ICT
Raja Rizvi,S/O محمد احمد,6110191566092,7176,03136693507,Sukkur,Sindh
Mehwish Gujjar,S/O Rizwan Nawaz,2130113565497,7327,03323544001,Skardu,Gilgit-Baltistan
Hamid Gujjar,S/O Ali Gujjar,,25757,03134956232,Hub,Balochistan
Rabia Nawaz,S/O Sobia Rafiq,,6803,03011444343,Hub,Balochistan
Noor Ansari,S/O Shoaib Latif,2130186119548,13269,03035466142,Mirpurkhas,Sindh
Imran Raja,S/O Ayesha Rafiq,5400090997092,32188,03213470977,Multan,Punjab
Naveed Khan,S/O Bushra Ansari,4210124053293,38587,03026554077,Gilgit,Gilgit-Baltistan
Zainab Cheema,S/O Salman Khan,5400088066332,15046,03457983679,Hyderabad,Sindh
Shazi Zaidi,S/O S/O Tahir Raza,6110187535769,3684,,Islamabad,ICT
Khalid Virk,S/O Shoaib Iqbal,3520268737148,11587,03019902621,Mingora,KPK
Chaudhry Raza,S/O Bilal Chaudhry,1330254340156,61744,03019558134,Muzaffarabad,Azad Kashmir
Ayesha Chattha,S/O Sajid Aslam,5400010887622,8274,03132478755,Sukkur,Sindh
Zubair Syed,S/O Asma Latif,3520276341164,6393,03469727843,Gwadar,Balochistan
Saira Chaudhry,S/O Shoaib Baig,,20527,03137138653,Larkana,Sindh
Faiasl Tarar,S/O S/O Kamran Baig,2130187361184,981,,Chilas,Gilgit-Baltistan
Asif Rafiq,S/O Tariq Sheikh,1330219997938,7701,03015818583,Sukkur,Sindh
Tariq Hashmi,S/O Khalid Latif,6110114773075,24398,,Rawalakot,Azad Kashmir
Arif Iqbal,S/O Fatima Karim,4210144374539,20371,03012898088,Sukkur,Sindh
Hamid Rafiq,S/O Raja Bhatti,2130113428235,225455,03458187437,Sialkot,Punjab
,S/O Kamran Rana,1330255862834,37480,03339314428,Peshawar,KPK
Adnan Naqvi,S/O Maryam Sandhu,5400071297984,85567,03455042799,Islamabad,ICT
Sana Rizvi,S/O Bushra Karim,3520222870244,82238,03119365912,Skardu,Gilgit-Baltistan
Uzma Chattha,S/O مریم چودھری,1330220606774,,03018092834,Muzaffarabad,Azad Kashmir
Asif Sandhu,S/O Zubair Abbasi,5400050576761,22542,03314855156,Mardan,KPK
Shoaib Gondal,S/O Amna Sheikh,2130199343269,24849,03004177325,Islamabad,ICT
Haid Baig,S/O Ayesha Gondal,6110129022003,54603,03223728933,Bannu,KPK
Rabia Ali,S/O Hashmi Rizvi,4400031401618,336658,03034596805,Faisalabad,Punjab
Malik Malik,S/O Shazia Aslam,4210149078822,53664,03338226768,Gilgit,Gilgit-Baltistan
Hina Rana,S/O Mirza Butt,4210165398912,2874,03004449048,Rawalakot,Azad Kashmir
Uzma Bukhari,S/O Uzma Sandhu,6110190557713,76435,03027948213,Mirpur,Azad Kashmir
Amna Ahmed,S/O Malik Jafri,6110167270977,2331,03463946567,Mirpur,Azad Kashmir
Ahmed Ali,S/O Faisal Tarar,4210193560593,18727,03333369785,Bahawalpur,Punjab
Mehwish Chattha,S/O Raja Rizvi,3520237245441,6668,03027369059,Chilas,Gilgit-Baltistan
Amna Sandhu,,,53609,03116955234,Nawabshah,Sindh
Hina Syed,S/O Salman Hashmi,3520291432065,57700,03463198183,Multan,Punjab
Fatima Gondal,S/O Tahir Latif,4210194964098,,03132400311,Multan,Punjab
Noor Jafri,S/O Shoaib Latif,4400063432905,43038,03315107483,Kohat,KPK
Ayesha Syed,S/O Raja Gondal,4210163794297,10353,03133884021,Multan,Punjab
Asif Gujjar,S/O Salman Chaudhry,6110153158357,37515,,Karachi,Sindh
Nadia Chaudhry,S/O Uzma Karim,1330261255098,7446,03128970430,Islamabad,ICT
محمد حسن,S/O Rabia Abbasi,2130142615507,26635,03013289764,Karachi,Sindh
Mohammad Gilani,S/O Hina Bukhari,5400078579251,336802,03212552142,Rawalakot,Azad Kashmir
Asif Chattha,S/O Hina Hashmi,21301-7691694-3,,03031137086,Bannu,KPK
Mohammad Baig,S/O Fatima Raja,5400018867162,13488,03136485409,Islamabad,ICT
Kashif Jafri,S/O Kashif Abbasi,5400091260768,47934,03135678648,Hub,Balochistan
Qureshi Hameed,S/O Nadia Raza,2130195077672,12987,03009708755,Islamabad,ICT
Arif Akhtar,S/O Noor Gilani,4400078170826,12728,,Gilgit,Gilgit-Baltistan
Malik Chattha,S/O Adnan Syed,4400026392337,14615,03469314541,Chilas,Gilgit-Baltistan
,S/O Chaudhry Baig,4400071068941,388436,03004587064,Multan,Punjab
Snaa Hussain,S/O Nadia Zaidi,1330243100735,1086379,03133114023,Multan,Punjab
Shazia Jafri,S/O Khalid Cheema,4210110298239,27814,03213589358,Gilgit,Gilgit-Baltistan
Fatima Mirza,S/O Sobia Tarar,3520242289734,7782,03038999528,Sialkot,Punjab
Ahmed Hussain,S/O Baig Ansari,1330218843905,16384,03318162264,Khuzdar,Balochistan
Faisal Latif,S/O Hassan Jafri,2130125927474,343955,03035148110,Quetta,Balochistan
Zubair Sandhu,S/O Naveed Syed,6110187318651,19235,03021528329,Gujranwala,Punjab
Sana Virk,S/O Omar Ahmed,4400062206184,7198,03314354171,Chilas,Gilgit-Baltistan
Iqra Hameed,S/O Hassan Chaudhry,1330297019293,14379,03326663342,Bahawalpur,Punjab
Hina Sandhu,S/O Hussain Abbasi,6110164281346,16580,03311512626,Sargodha,Punjab
Hamid Jafri,S/O Rukhsar Bhatti,6110180262833,43827,03335356062,Chilas,Gilgit-Baltistan
Mehwish Ahmed,S/O Hamid Ahmed,2130114217496,9977,03327747471,Larkana,Sindh
Khalid Akhtar,S/O Bilal Virk,1330239912434,74672,,Larkana,Sindh
Mirza Tarar,S/O Sidra Syed,1330274247766,461640,03315651273,Sialkot,Punjab
Sobia Akhtar,S/O Asma Hashmi,6110161194594,3807,03337261796,Bahawalpur,Punjab
Sobia Gilani,S/O Fatima Baig,4400022082017,27881,03028273871,Bahawalpur,Punjab
Sobia Ahmed,S/O Mehwish Syed,5400062193366,44237,,Chilas,Gilgit-Baltistan
Noor Baig,S/O Muhammad Jafri,5400050269388,15685,03036205422,Lahore,Punjab
Aamir Butt,S/O Waseem Naqvi,6110181529949,10635,03315923181,Gujranwala,Punjab
Maryam Rana,S/O Chaudhry Akhtar,5400025587975,30851,03333949884,Gwadar,Balochistan
Noor Chatttha,S/O Fatima Iqbal,2130122739834,55147,03327788683,Muzaffarabad,Azad Kashmir
Omar Virk,S/O Hashmi Rizvi,6110143423252,60247,03117232179,Quetta,Balochistan
Sajid Butt,S/O Mehwish Hashmi,2130140391792,17039,,Karachi,Sindh
Waseem Naqvi,S/O Mohammad Virk,2130150404594,26951,03124868506,Islamabad,ICT
Mohammad Hussain,S/O Ali Aslam,1330228669345,7001,03034554677,Islamabad,ICT
Fatima Gilani,S/O Shazia Hameed,2130118378077,145650,03219087798,Chilas,Gilgit-Baltistan
Noor Tarar,S/O Asma Zaidi,4400084128542,341736,03212525747,Kohat,KPK
Bilal Ansari,S/O S/O Syed Nawaz,4400019072104,13201,03226396173,Rawalakot,Azad Kashmir
Mirza Rizvi,S/O Hashmi Rizvi,4400011675362,17695,03129267076,Abbottabad,KPK
Zainab Rana,S/O Hashmi Rana,5400079320058,426689,03223763919,Chilas,Gilgit-Baltistan
Sidra Butt,S/O Aamir Latif,4210122476044,18357,,Lahore,Punjab
Arif Virk,S/O Saira Karim,6110134312793,35268,03011121198,Khuzdar,Balochistan
مریم چودھری,S/O S/O Tahir Ansari,4400085940546,13215,03027659346,Peshawar,KPK
Imran Bag,S/O Malik Hashmi,4210148481643,18733,,Peshawar,KPK
Ali Chaudhry,S/O Shazia Syed,3520250271482,12882,03335795781,Sialkot,Punjab
,S/O Nadia Ansari,1330246169261,27006,03028864780,Hyderabad,Sindh
Hussain Raza,S/O Sheikh Sheikh,3520266567265,19326,03025540075,Islamabad,ICT
Naeem Gujjar,S/O Malik Naqvi,2130116815394,5280,03334158767,Lahore,Punjab
Adnan Gondal,S/O Rabia Ahmed,4210113333975,7640,03459514417,Sargodha,Punjab
Bilal Butt,S/O Muhammad Chattha,6110141060621,266009,03112877929,Bannu,KPK
عائشہ احمد,S/O Naveed Bhatti,3520246776934,71327,03032639784,Mardan,KPK
Nadia Raza,S/O Sheikh Hussain,2130125508588,61549,03039519290,Mirpur,Azad Kashmir
Faisal Raza,S/O Kashif Ahmed,6110176465503,13518,03125528590,Chilas,Gilgit-Baltistan
Hina Rana,S/O مریم چودھری,3520281659153,16011,03036569017,Mardan,KPK
,S/O Qureshi Rana,3520263292427,8540,03014583996,Mirpur,Azad Kashmir
Malik Virk,S/O Muhammad Nawaz,4400080628603,37161,03212721466,Lahore,Punjab
Naeem Raza,S/O Adnan Cheema,4210112791103,20548,03337698366,Islamabad,ICT
Asif Rafiq,S/O Asma Sheikh,5400025990712,800254,03007634011,Mirpurkhas,Sindh
Kamran Bhatti,S/O Salman Zaidi,1330279141901,8282,03027447324,Islamabad,ICT
احمد خان,S/O Chaudhry Cheema,3520245802415,42685,03121562456,Bahawalpur,Punjab
Shoaib Hashmi,S/O Rukhsar Mirza,1330291962872,45397,03335303341,Skardu,Gilgit-Baltistan
Naeem Ali,S/O Asma Raja,,328860,03212456742,Turbat,Balochistan
Uzma Rana,S/O Sana Virk,5400020361429,36279,03021222200,Gwadar,Balochistan
Hashmi Abbasi,S/O عائشہ احمد,4210136225118,43699,03018331359,Islamabad,ICT
Naeem Cheema,S/O S/O Ayesha Bhatti,1330228351258,8993,03463622462,Chilas,Gilgit-Baltistan
Mehwish Rizvi,S/O Rukhsar Zaidi,2130164813634,46003,03219587550,Rawalpindi,Punjab
Chaudhry Gondal,S/O Malik Tarar,4400043437403,95823,03327816788,Hub,Balochistan
Kamran Baig,S/O Mehwish Butt,6110148947094,74093,03133880053,Faisalabad,Punjab
Hashmi Hussain,S/O عمر شیخ,1330246409338,22974,03111257256,Mirpurkhas,Sindh
Sidra Sandhu,S/O Faisal Virk,5400026788867,7549,03227174780,Karachi,Sindh
مرییم چودھری,S/O Chaudhry Raja,2130156571197,47448,03136185271,Islamabad,ICT
Tahir Gilani,S/O Omar Mirza,3520261860094,26964,03009719744,Sialkot,Punjab
Hussain Chaudhry,S/O Baig Akhtar,3520289272495,42053,03033607424,Islamabad,ICT
Raja Rizvi,S/O محمد احمد,6110191566092,6247,03136693507,Sukkur,Sindh
Tariq Bukhari,S/O Usman Aslam,2130156900299,7323,03133267809,Islamabad,ICT
Asif Latif,S/O Uzma Gujjar,4400035887698,6534,03011340111,Faisalabad,Punjab
ابراہیم ملک,S/O Qureshi Raja,1330279577884,107773,03001260551,Mirpur,Azad Kashmir
Bilal Syed,S/O Amna Bhatti,,11374,03213422826,Mirpurkhas,Sindh
Amna Raja,S/O Raja Butt,2130158898693,58766,03211780775,Hyderabad,Sindh
Salman Sandhu,S/O Syed Aslam,4400096363718,43679,03027243958,Mirpur,Azad Kashmir
Ayesha Chattha,S/O Fatima Zaidi,4400036362486,82248,03457994575,Muzaffarabad,Azad Kashmir
Ibrahim Gujjar,S/O Sheikh Rana,3520285033226,20981,03033704659,Peshawar,KPK
Asif Rana,S/O Salman Rana,4210120533399,48973,03115753431,Hub,Balochistan
Hassan Nawaz,S/O Zainab Raza,2130169776854,68787,03322740079,Nawabshah,Sindh
Usman Gondal,S/O Fatima Akhtar,4400065608344,51464,03326457449,Mirpurkhas,Sindh
Rukhsar Rana,S/O Asif Karim,4400037914725,3532,03033341247,Peshawar,KPK
Faisal Malik,S/O Hamid Nawaz,6110131866354,12253,03333620107,Faisalabad,Punjab
Syed Sheikh,S/O علی حسین,2130133576095,1867,03335263959,Sialkot,Punjab
Salman Virk,S/O Naveed Hussain,4400049307314,46911,03327127224,Rawalakot,Azad Kashmir
Hina Akhtar,S/O Nadia Gilani,2130171899315,27880,03138831951,Turbat,Balochistan
Tariq Raja,S/O Naveed Sandhu,4210117909714,16635,03139615046,Sargodha,Punjab
Kashif Hashmi,S/O Asma Bukhari,4210137212845,7429,03318159756,Karachi,Sindh
Ayesha Syed,S/O Mehwish Latif,2130160470282,56671,03336703424,Rawalpindi,Punjab
Rabia Akhtar,S/O S/O Hassan Sandhu,1330211136711,4580,03019888098,Skardu,Gilgit-Baltistan
Adnan Bhatti,S/O محمد احمد,2130130918043,19131,03034068301,Gilgit,Gilgit-Baltistan
Sobia Raza,S/O Ayesha Cheema,2130125933641,15780,03463802602,Rawalpindi,Punjab
Naeem Cheema,S/O Mehwish Jafri,4210198773644,13184,03321445809,Rawalpindi,Punjab
Bushra Nawaz,S/O Omar Abbasi,6110179940332,12422,03016366085,Mirpurkhas,Sindh
Amna Chaudhry,S/O Sheikh Abbasi,4400051989331,26188,03013722810,Sukkur,Sindh
Bilal Virk,S/O Sajid Ahmed,1330283231442,11225,03218281109,Gwadar,Balochistan
Hina Raza,S/O S/O محمد حسن,6110181421036,6401,03025919745,Skardu,Gilgit-Baltistan
Faisal Chaudhry,S/O Hina Bukhari,3520214032682,59186,03111558164,Bannu,KPK
Shoaib Nawaz,S/O Rukhsar Qureshi,3520252167487,2747,03128283053,Gwadar,Balochistan
Mehwish Ahmed,S/O Hamid Ahmed,2130114217496,10227,03327747471,Larkana,Sindh
Asif Chaudhry,S/O نادیہ رضا,6110158853662,12282,03137485867,Mirpur,Azad Kashmir
Hashmi Akhtar,S/O Tariq Rana,54000-7395906-7,95156,03465571940,Hub,Balochistan
Raja Karim,S/O Baig Akhtar,6110184718246,5000,03465083365,Skardu,Gilgit-Baltistan
Raja Gujjar,S/O Naveed Chattha,3520212138992,33812,03329289690,Rawalpindi,Punjab
Asma Rana,S/O Ibrahim Raza,4210120352048,133760,03329399071,Karachi,Sindh
Sana Akhtar,S/O Mehwish Ahmed,3520251796382,8770,03213669853,Kohat,KPK
Ali Naqvi,S/O Omar Hashmi,1330230940477,13170,03133748908,Gilgit,Gilgit-Baltistan
Amna Mirza,S/O Rukhsar Chaudhry,1330267874352,20423,03331316954,Quetta,Balochistan
Ahmed Butt,S/O عائشہ احمد,6110174788718,15019,03025828149,Rawalakot,Azad Kashmir
Bilal Aslam,S/O Iqra Naqvi,2130175014342,54355,03008808525,Gwadar,Balochistan
Bushra Chaudhry,S/O Naeem Ahmed,2130123606721,42185,03465069781,Chilas,Gilgit-Baltistan
Saira Iqbal,S/O Tariq Bhatti,6110192255046,12546,03459722462,Nawabshah,Sindh
Kashif Chattha,S/O Ahmed Iqbal,4400090615677,431894,03335311484,Mirpur,Azad Kashmir
Rukhsar  Rana,S/O Hussain Virk,1330299448776,33511,03027282599,Gilgit,Gilgit-Baltistan
Baig Raja,S/O Noor Akhtar,3520274497275,22740,03221261675,Mirpur,Azad Kashmir
Iqra Naqvi,S/O Rabia Bhatti,3520268739389,7909,03314794319,Islamabad,ICT
Shoaib Zaidi,S/O Iqra Rizvi,2130120267894,92364,03039893204,Faisalabad,Punjab
Naeem Sandhu,S/O Saira Tarar,2130139682374,10279,03313589058,Islamabad,ICT
Ahmed Abbasi,S/O Uzma Hameed,2130194120284,5167,03017657744,Gujranwala,Punjab
Rabia Sheikh,S/O Shoaib Abbasi,4400033970486,9783,03458216959,Skardu,Gilgit-Baltistan
Hina Mirza,S/O Hassan Gondal,4210187737413,43140,03037469044,Turbat,Balochistan
Kamran Mirza,S/O Chaudhry Malik,6110159775707,84440,03216244702,Gwadar,Balochistan
Iqra Cheema,,4210131344068,47245,03022459729,Nawabshah,Sindh
Adnan Gondal,S/O Naeem Zaidi,4210179460888,9422,03132701688,Mirpurkhas,Sindh
Aamir Tarar,S/O Faisal Tarar,1330232588339,3021,03019657187,Skardu,Gilgit-Baltistan
Sobia Hashmi,S/O Sheikh Ansari,2130192293391,67460,03126211203,Chilas,Gilgit-Baltistan
Nveed Syed,S/O Hashmi Jafri,4400031065499,153536,03211917883,Hyderabad,Sindh
Shazia Rizvi,S/O Faisal Rafiq,3520252879382,26481,03134356786,Hyderabad,Sindh
Hussain Naqvi,S/O Ibrahim Nawaz,4210164195884,328203,03004942940,Sargodha,Punjab
Nadia Akhtar,S/O عمر شیخ,5400044311617,73911,03455748945,Bannu,KPK
Ahmed Gondal,S/O Hussain Latif,4210180814942,7727,03325408395,Mingora,KPK
Faial Chaudhry,S/O Tariq Baig,2130183596887,,03111754659,Gujranwala,Punjab
Bushra Hameed,S/O Sana Chattha,5400089508851,17162,03468885098,Rawalakot,Azad Kashmir
Khalid Chattha,S/O Iqra Jafri,6110136721812,134292,03328999013,Mingora,KPK
Mehwish Latif,S/O مریم چودھری,1330289049211,18017,03328241989,Gujranwala,Punjab
Rizwan Zaidi,S/O مریم چودھری,5400067129103,71543,03334282766,Sialkot,Punjab
Shazia Rafiq,S/O Hussain Virk,1330281499508,77511,03138956709,Sargodha,Punjab
Ibrahim Zaidi,S/O Sidra Hashmi,2130144097911,,03459787251,Mirpurkhas,Sindh
